4 32.88 18  60.46 0.06091883954902877
4 32.88 19  60.5 0.031241345911337128
4 32.88 20  60.53 0.05183496627070585
4 32.88 21  60.54 0.053665385738606214
4 32.88 22  60.55 0.029854797009983485
4 32.88 23  61.18 0.015360218457684883
4 32.88 24  67.15 0.0346517409083291
4 32.88 25  67.17 0.027420593861160275
4 32.88 26  67.23 0.01936475692229569
4 32.88 27  95.97 4.326186468707833e-5
4 32.88 28  95.98 5.550304359859109e-5
4 32.88 29  96.0 4.138761582551786e-5
4 32.88 30  96.01 6.147679232097769e-5
4 32.88 31  96.02 7.13577707558768e-5
4 32.88 32  96.03 5.386931148177102e-5
4 32.88 33  96.04 3.766588361438884e-5
4 32.88 34  100.27 0.01953683073570599
4 32.88 35  100.39 0.014734532004293846
4 32.88 36  100.4 0.007602665528602947
4 32.88 37  100.44 0.013862107291756702
4 32.88 38  100.45 0.010668304297441004
4 32.88 39  101.73 0.0007499591812709868
4 32.88 40  101.81 0.0009101163576757811
4 32.88 41  101.82 0.0008110940145832219
4 32.88 42  104.63 0.004262984026628908
4 32.88 43  104.65 0.004942637764708983
4 32.88 44  104.66 0.010624739751665328
4 32.88 45  104.69 0.004428025763743639
4 32.88 46  104.71 0.0012908280619066802
4 32.88 47  106.53 0.005534432041586183
4 32.88 48  111.09 0.004595755290559207
4 32.88 49  111.11 0.007649029793585348
4 32.88 50  111.14 0.006469477799084133
4 32.88 51  111.15 0.023988150564081795
4 32.88 52  111.18 0.021022004637229724
4 32.88 53  120.51 5.029806282235646e-5
4 32.88 54  120.55 0.00015426550346721275
4 32.88 55  120.56 0.00027802538327554503
4 32.88 56  120.57 0.00012176076945783889
4 32.88 57  120.6 0.0003605880195826553
4 32.88 58  120.61 0.00019893318957446137
4 32.88 59  120.64 5.484898748914537e-5
4 32.88 60  126.07 0.0004987126510614501
4 32.88 61  126.1 0.0004450020664273243
4 32.88 62  126.15 0.00043032682173881146
4 32.88 63  127.6 0.01472772908369593
4 32.88 64  127.64 0.009095742623771084
4 32.88 65  127.64 0.01264384070413258
4 32.88 66  127.64 0.007434516996632163
4 32.88 67  127.67 0.009274339449954757
4 32.88 68  129.56 7.496991516646858e-6
4 32.88 69  129.57 6.255795619984552e-6
4 32.88 70  129.59 1.6258145973807443e-5
4 32.88 71  129.64 1.2209559371597403e-5
4 32.88 72  129.64 2.564101780572748e-5
4 32.88 73  129.66 1.3134915868497856e-5
4 32.88 74  129.68 7.888267331065899e-6
4 32.88 75  132.18 0.00024616748550935433
4 32.88 76  132.19 9.497259832623056e-5
4 32.88 77  132.21 0.00016582622463316048
4 32.88 78  132.25 0.00014466595866782108
4 32.88 79  132.27 0.00024929110891678104
4 32.88 80  132.27 0.0002624678726690812
4 32.88 81  132.3 0.00032535840980093167
4 32.88 82  132.31 0.0002774436844601982
4 32.88 83  140.0 5.108564799324398e-5
4 32.88 84  140.11 6.092750711091479e-6
4 32.88 85  140.14 2.3938191196456935e-5
4 32.88 86  166.1 6.885402042020447e-6
4 32.88 87  166.15 4.051419820519809e-5
4 32.88 88  166.17 5.156999530641318e-5
4 32.88 89  166.18 3.608033411083939e-5
4 32.88 90  166.19 3.008834505791391e-6
4 32.88 91  166.2 5.248985071273828e-5
4 32.88 92  166.23 3.029626629058833e-5
4 32.88 93  166.25 5.462187852981735e-5
4 32.88 94  166.25 0.0001434088509462264
4 32.88 95  166.38 0.00034744096995722236
4 32.88 96  166.4 0.00020347583207922605
4 32.88 97  166.43 0.0004445469624410225
4 32.88 98  166.44 0.0003795074761355267
4 32.88 99  166.47 0.0005945987638197992
4 32.88 100  167.81 0.0009615932626543086
5 67.17 5  0.0 1.7790860567509875e-6
5 67.17 6  0.01 2.1078891268525987e-6
5 67.17 7  0.04 1.073953961973536e-5
5 67.17 8  2.46 0.01139138280233433
5 67.17 9  2.48 0.024256527461632288
5 67.17 10  2.51 0.017174007022724397
5 67.17 11  2.51 0.010276983636354105
5 67.17 12  2.6 0.032416410474824846
