3 32.89 62  126.24 0.00016795345666124678
3 32.89 63  127.75 0.01238020506836504
3 32.89 64  127.75 0.011413258265956173
3 32.89 65  127.75 0.011161526680756977
3 32.89 66  127.75 0.003998994062322316
3 32.89 67  127.75 0.008525951226758756
3 32.89 68  129.75 5.200104378091254e-30
3 32.89 69  129.75 7.723066953892918e-31
3 32.89 70  129.75 1.4997536117796832e-30
3 32.89 71  129.75 6.041691167714917e-29
3 32.89 72  129.75 1.0077101091853541e-28
3 32.89 73  129.75 5.409568278331075e-31
3 32.89 74  129.75 4.381540347630281e-28
3 32.89 75  132.35 2.1803917830494476e-30
3 32.89 76  132.35 2.9768083641124867e-30
3 32.89 77  132.35 6.0675003618232105e-30
3 32.89 78  132.43 1.4983162350956801e-30
3 32.89 79  132.43 5.591281034089075e-30
3 32.89 80  132.43 7.848529947726065e-30
3 32.89 81  132.43 7.835019800967967e-29
3 32.89 82  132.43 2.668417877471548e-29
3 32.89 83  140.23 1.026255641997353e-29
3 32.89 84  140.23 7.684208640101705e-31
3 32.89 85  140.23 1.7446562622731217e-30
3 32.89 86  166.33 2.4353550263774164e-32
3 32.89 87  166.33 4.7096740329900814e-32
3 32.89 88  166.33 3.1729790002793884e-32
3 32.89 89  166.33 6.469740435864899e-32
3 32.89 90  166.33 2.45406237688974e-32
3 32.89 91  166.33 2.876305947789985e-31
3 32.89 92  166.33 3.858976391142977e-31
3 32.89 93  166.33 3.4455438977979386e-31
3 32.89 94  166.33 7.231073741756631e-31
3 32.89 95  166.57 1.089525557631177e-30
3 32.89 96  166.57 6.550676835068925e-31
3 32.89 97  166.57 1.7781265889511545e-31
3 32.89 98  166.57 8.681683133063627e-31
3 32.89 99  166.57 1.8864388602954697e-31
3 32.89 100  168.03 2.9836008009035133e-5
4 32.89 4  0.0 6.2996803298733794e-30
4 32.89 5  34.38 2.828045986709571e-28
4 32.89 6  34.38 2.7745714824903384e-30
4 32.89 7  34.38 2.3059473860148623e-29
4 32.89 8  36.88 0.08997926893457528
4 32.89 9  36.88 0.06030800366737655
4 32.89 10  36.88 0.03312903717355118
4 32.89 11  36.88 0.06498669147661275
4 32.89 12  36.88 0.05433954364710056
4 32.89 13  58.66 0.01919698452127322
4 32.89 14  58.66 0.0043201169813814715
4 32.89 15  58.66 0.026887707924388143
4 32.89 16  58.66 0.004661274062359092
4 32.89 17  58.66 0.016851010812574563
4 32.89 18  60.62 5.8014379140141445e-27
4 32.89 19  60.62 3.4926059916126616e-29
4 32.89 20  60.62 1.128110750741729e-28
4 32.89 21  60.62 7.986215221998369e-29
4 32.89 22  60.62 6.811870310294479e-29
4 32.89 23  61.25 0.006518431962082693
4 32.89 24  67.27 0.008917681376403678
4 32.89 25  67.27 0.014667761590271833
4 32.89 26  67.27 0.019405967948456317
4 32.89 27  96.13 1.2317465263447211e-29
4 32.89 28  96.13 2.0558845254276085e-28
4 32.89 29  96.13 1.3351930986596118e-29
4 32.89 30  96.13 5.6944857591036556e-30
4 32.89 31  96.13 2.658635223403012e-31
4 32.89 32  96.13 1.2167652805292016e-30
4 32.89 33  96.13 4.842009539967987e-31
