2 32.41 85  123.25 5.4397605680885946e-9
2 32.41 86  123.25 3.591707474431996e-8
2 32.41 87  123.25 1.832257051696749e-25
2 32.41 88  124.14 1.4262991632561525e-9
2 32.41 89  124.14 1.4018546111013843e-9
2 32.41 90  126.62 3.1912193064350258e-9
2 32.41 91  126.62 5.464708411956579e-9
2 32.41 92  126.62 6.87920290463523e-26
2 32.41 93  138.56 2.2635252446893682e-7
2 32.41 94  138.56 3.808232888571664e-23
2 32.41 95  138.56 2.2526307330339208e-7
2 32.41 96  138.99 7.761949014662459e-7
2 32.41 97  138.99 2.183716841947645e-6
2 32.41 98  139.66 6.133073612490675e-21
2 32.41 99  139.66 1.87462145955202e-5
2 32.41 100  139.66 1.873196693855142e-5
3 32.41 3  0.0 3.2688596000305944e-8
3 32.41 4  0.0 3.1032761827414496e-12
3 32.41 5  28.58 1.4292187124032493e-11
3 32.41 6  28.58 5.19984314378596e-8
3 32.41 7  28.58 4.681201538199589e-8
3 32.41 8  34.85 0.07403888091751831
3 32.41 9  34.85 0.06945924615755393
3 32.41 10  35.22 0.09028796470933308
3 32.41 11  35.22 5.724507406685106e-16
3 32.41 12  35.22 0.09028453672333957
3 32.41 13  52.53 0.02116527463007697
3 32.41 14  52.53 2.0037623177999585e-13
3 32.41 15  52.53 0.021166045242464952
3 32.41 16  54.13 0.007427603799083408
3 32.41 17  54.13 0.006798410841621973
3 32.41 18  54.54 0.009895120529340646
3 32.41 19  57.56 1.6143545151724202e-26
3 32.41 20  57.56 6.87820774645857e-26
3 32.41 21  61.02 6.555782845151847e-5
3 32.41 22  61.02 2.148574164392877e-5
3 32.41 23  61.02 1.0780674868227992e-9
3 32.41 24  61.05 0.027916325635420392
3 32.41 25  61.05 8.623855556399586e-18
3 32.41 26  61.05 0.027872614366802644
3 32.41 27  82.56 5.007443337686578e-25
3 32.41 28  83.69 1.5918743057682493e-8
3 32.41 29  83.69 6.177783487126523e-9
3 32.41 30  83.69 5.450253768030554e-9
3 32.41 31  83.9 6.325991260477138e-8
3 32.41 32  83.9 6.8581005521215e-8
3 32.41 33  83.9 5.179059807202755e-11
3 32.41 34  88.52 0.0011281561699041532
3 32.41 35  88.52 0.030603495851524238
3 32.41 36  90.47 0.03048822703537608
3 32.41 37  90.47 0.030487436937052526
3 32.41 38  90.47 7.003352627553211e-16
3 32.41 39  92.18 4.730588847777555e-8
3 32.41 40  92.18 3.539810423817881e-7
3 32.41 41  92.18 4.9267996857283235e-11
3 32.41 42  95.57 4.0367769031845476e-25
3 32.41 43  95.57 3.250543020614832e-25
3 32.41 44  95.84 5.565814531091765e-10
3 32.41 45  95.84 6.736450947759578e-9
3 32.41 46  95.84 8.972820171416083e-11
3 32.41 47  97.31 0.0016827807470101521
3 32.41 48  103.9 0.028121425456443704
3 32.41 49  103.9 3.504520847206457e-18
3 32.41 50  103.9 0.028121938231862986
3 32.41 51  105.34 0.018623264687448165
3 32.41 52  105.34 0.030240960198907353
3 32.41 53  108.49 1.5394504967999442e-26
3 32.41 54  108.78 3.797055088210616e-9
3 32.41 55  108.78 1.3253186102414408e-7
3 32.41 56  108.78 2.37542355719144e-10
3 32.41 57  109.27 1.4930103766668232e-7
3 32.41 58  109.27 1.0640144528231413e-9
3 32.41 59  109.27 1.2700285594437463e-8
3 32.41 60  110.84 3.0014263572282104e-22
3 32.41 61  110.84 5.605235713056298e-6
3 32.41 62  110.84 5.528237001594871e-6
3 32.41 63  111.69 0.0019344321508138345
3 32.41 64  111.69 5.714080818288065e-20
3 32.41 65  111.69 0.0019345859849291148
3 32.41 66  111.89 5.753279012063206e-11
3 32.41 67  112.08 2.4864682953979025e-8
3 32.41 68  112.08 6.283789082933028e-9
3 32.41 69  112.08 2.2169461195775866e-8
3 32.41 70  118.13 0.00032409980211127324
3 32.41 71  118.13 1.3726317683892926e-18
3 32.41 72  118.13 0.0003237160440378428
3 32.41 73  119.03 1.9966374763683446e-7
3 32.41 74  119.03 7.649526202675701e-8
3 32.41 75  119.03 1.6528297741081995e-9
3 32.41 76  120.29 0.01958879984112081
3 32.41 77  120.29 3.0904537119793138e-18
3 32.41 78  120.29 0.019593976772745915
3 32.41 79  120.52 2.821276068869565e-6
3 32.41 80  120.52 2.501138155216857e-9
3 32.41 81  120.52 4.576049932279166e-6
3 32.41 82  120.71 9.305279737896708e-23
3 32.41 83  121.44 0.014382832240212315
3 32.41 84  121.45 0.010109657031199405
3 32.41 85  123.25 1.1453348726064744e-9
3 32.41 86  123.25 5.652777644600793e-9
3 32.41 87  123.25 1.2362152521177414e-9
3 32.41 88  124.14 1.4785759595604923e-25
3 32.41 89  124.14 1.3119254127654194e-25
3 32.41 90  126.62 8.152514446143795e-10
3 32.41 91  126.62 4.286811843794824e-9
3 32.41 92  126.62 1.1148395892492561e-10
3 32.41 93  138.56 2.2500403996607057e-7
3 32.41 94  138.56 2.2498952405941923e-7
3 32.41 95  138.56 2.69307354713379e-23
3 32.41 96  138.99 7.063117598005481e-7
3 32.41 97  138.99 2.254313614199943e-6
3 32.41 98  139.66 1.8749269002790034e-5
3 32.41 99  139.66 4.714124770471596e-21
3 32.41 100  139.66 1.8721026943326004e-5
4 32.41 4  0.0 7.262244793058574e-13
4 32.41 5  28.58 3.5094198782609354e-11
4 32.41 6  28.58 3.5016780228905616e-15
4 32.41 7  28.58 1.4600804475471034e-24
4 32.41 8  34.85 0.13271104208597667
4 32.41 9  34.85 0.010789133632326461
4 32.41 10  35.22 5.707259622040227e-18
4 32.41 11  35.22 0.09028482783607958
4 32.41 12  35.22 0.09028476039918605
4 32.41 13  52.53 6.550375746141902e-19
4 32.41 14  52.53 0.021166096081037384
4 32.41 15  52.53 0.0211656356668166
4 32.41 16  54.13 0.013114968270927709
4 32.41 17  54.13 0.001117704684848326
4 32.41 18  54.54 0.009888274641610888
4 32.41 19  57.56 1.7471938778360327e-10
4 32.41 20  57.56 8.683738155109381e-10
4 32.41 21  61.02 6.600686995071772e-5
4 32.41 22  61.02 3.031474862830219e-21
4 32.41 23  61.02 1.411399894935565e-13
4 32.41 24  61.05 8.795980047559381e-19
4 32.41 25  61.05 0.02793755531144218
4 32.41 26  61.05 0.02787182189132111
4 32.41 27  82.56 1.6472301969073316e-10
