3 32.76 16  56.61 0.015311333558114596
3 32.76 17  56.61 0.008537067386000127
3 32.76 18  58.42 0.006722835528355597
3 32.76 19  59.4 1.490259233762752e-30
3 32.76 20  59.4 2.425310652632359e-30
3 32.76 21  59.4 2.415562027500546e-30
3 32.76 22  59.4 1.943074180066523e-27
3 32.76 23  59.4 2.329127413102975e-29
3 32.76 24  67.21 0.009467852997452977
3 32.76 25  67.21 0.02087970703136205
3 32.76 26  67.21 0.012978453218023543
3 32.76 27  86.82 1.4905827945225448e-29
3 32.76 28  86.82 1.6306229889509948e-29
3 32.76 29  86.82 1.3388404412090405e-28
3 32.76 30  86.82 1.3230430090031009e-30
3 32.76 31  86.82 1.8359763025151288e-30
3 32.76 32  86.82 9.335634711543919e-29
3 32.76 33  86.82 2.773597342652609e-29
3 32.76 34  94.96 0.032557140496321114
3 32.76 35  94.96 0.007379197398661883
3 32.76 36  94.96 0.06229385844510224
3 32.76 37  94.96 0.031080163179510126
3 32.76 38  94.96 0.003869001392987822
3 32.76 39  97.05 6.336539574636779e-29
3 32.76 40  97.05 3.692291392305245e-29
3 32.76 41  97.05 7.996382019712065e-29
3 32.76 42  100.27 0.001496687682048402
3 32.76 43  102.0 2.6316842855585027e-30
3 32.76 44  102.0 1.623657718445135e-29
3 32.76 45  102.0 7.963145455912246e-30
3 32.76 46  102.0 3.1214433891194316e-28
3 32.76 47  102.0 1.6817912426532933e-28
3 32.76 48  107.76 0.012868978746770255
3 32.76 49  107.76 0.005362197118544597
3 32.76 50  107.76 0.02116043737532079
3 32.76 51  107.76 0.01827937498799223
3 32.76 52  107.76 0.02104879565461251
3 32.76 53  113.05 1.2612874812828601e-29
3 32.76 54  113.05 8.635088526628034e-30
3 32.76 55  113.05 1.757341354349853e-30
3 32.76 56  113.05 6.2503698868936686e-30
3 32.76 57  113.05 1.386752728285977e-30
3 32.76 58  113.05 3.1331354478138535e-29
3 32.76 59  113.05 1.8938139130562415e-29
3 32.76 60  115.85 4.26749088984888e-31
3 32.76 61  115.85 9.843211190362034e-30
3 32.76 62  115.85 1.7096315866112214e-29
3 32.76 63  115.85 3.2279696504866614e-29
3 32.76 64  115.85 6.938516029791694e-30
3 32.76 65  115.85 4.299235195327458e-31
3 32.76 66  115.85 2.0826073255623184e-29
3 32.76 67  119.98 4.7659949477878425e-30
3 32.76 68  119.98 9.263009531663501e-29
3 32.76 69  119.98 2.96694458101831e-29
3 32.76 70  123.52 1.9832561231284245e-27
3 32.76 71  123.52 4.054518679098304e-29
3 32.76 72  123.52 2.0660081085259666e-27
3 32.76 73  123.52 2.021528789407966e-27
3 32.76 74  123.52 1.9723916073163531e-28
3 32.76 75  123.52 9.290268036437759e-30
3 32.76 76  123.52 1.2242964368338345e-27
3 32.76 77  123.71 0.000267236429027033
3 32.76 78  123.71 0.0002736534114091077
3 32.76 79  123.71 0.0003651917001636118
3 32.76 80  124.83 0.0037052610932019328
3 32.76 81  124.83 0.019885289008675925
3 32.76 82  124.83 0.008942300418858172
3 32.76 83  124.83 0.0070161765150093735
3 32.76 84  124.83 0.010234333709329042
3 32.76 85  127.18 8.290404407656724e-29
3 32.76 86  127.18 2.464141351994492e-28
3 32.76 87  127.18 3.755764540987264e-29
3 32.76 88  127.18 1.1073265233231404e-27
3 32.76 89  127.18 1.6311867126581866e-28
3 32.76 90  128.91 1.5266778256269403e-28
3 32.76 91  128.91 1.2786562853908742e-28
3 32.76 92  128.91 1.412053320475045e-29
3 32.76 93  143.03 1.0698465094091349e-30
3 32.76 94  143.03 5.175825571458712e-32
3 32.76 95  143.03 1.4790440137610415e-30
3 32.76 96  143.03 7.350665044745005e-33
3 32.76 97  143.03 1.2209603000779695e-32
3 32.76 98  143.03 6.873039577751292e-30
3 32.76 99  143.03 6.928361077013329e-31
