5 3.77 61  47.42 0.0018698145229083716
5 3.77 62  47.42 0.00484736790841895
6 3.77 6  0.0 0.15005265378251817
6 3.77 7  0.0 0.10987853142437255
6 3.77 8  0.0 0.013807954094329007
6 3.77 9  0.0 0.04008479928455789
6 3.77 10  0.0 0.010634883631536196
6 3.77 11  0.0 0.025116610361423014
6 3.77 12  0.0 0.003799831201408413
6 3.77 13  0.0 0.01656151753339007
6 3.77 14  0.0 0.01920022077851829
6 3.77 15  3.48 0.0057922706224819605
6 3.77 16  3.48 0.001503924692490826
6 3.77 17  3.48 0.011463150091886398
6 3.77 18  3.48 0.004400477142852584
6 3.77 19  3.48 0.0063469049342575745
6 3.77 20  40.8 0.0006062995126199806
6 3.77 21  40.8 0.0013983597960575194
6 3.77 22  40.8 0.0012624421268868505
6 3.77 23  40.8 0.0007841446156565675
6 3.77 24  40.8 0.0022364792694054446
6 3.77 25  40.8 0.0012683053278386516
6 3.77 26  40.8 0.000612746070834995
6 3.77 27  40.8 0.0006375803240757416
6 3.77 28  40.8 0.0006664936356573726
6 3.77 29  40.8 0.0008079728358009863
6 3.77 30  40.8 0.0007278331494870256
6 3.77 31  40.8 0.0006826013685853108
6 3.77 32  40.8 0.0007230271390405185
6 3.77 33  40.8 0.0007599788401067844
6 3.77 34  40.8 0.0006193742563305553
6 3.77 35  40.8 0.0021655374834134
6 3.77 36  40.8 0.0009636361144664097
6 3.77 37  40.8 0.0008484100307189736
6 3.77 38  40.8 0.0007576000874934506
6 3.77 39  40.8 0.0007673684891618549
6 3.77 40  40.8 0.0007604645793842159
6 3.77 41  40.8 0.0008033952025198395
6 3.77 42  40.8 0.0005285213555822368
6 3.77 43  40.8 0.0007089786792283603
6 3.77 44  40.8 0.0006992926612610768
6 3.77 45  40.8 0.0010591947127658995
6 3.77 46  40.8 0.0012741548737560842
6 3.77 47  40.8 0.0011158285418945031
6 3.77 48  40.8 0.000989361036963488
6 3.77 49  40.8 0.0006364732164615427
6 3.77 50  40.8 0.00015934444140763295
6 3.77 51  40.8 0.0006556874529609109
6 3.77 52  40.8 0.0010732440721589176
6 3.77 53  40.8 0.0005653879031430769
6 3.77 54  40.8 0.0014191105972199772
6 3.77 55  40.8 0.0005607913666876541
6 3.77 56  40.8 0.0002793678303034835
6 3.77 57  40.8 0.0018097738418693518
6 3.77 58  47.42 0.0021672970223650923
6 3.77 59  47.42 0.0019220268403419994
6 3.77 60  47.42 0.005466740952902583
6 3.77 61  47.42 0.0012381898945215434
6 3.77 62  47.42 0.0048398160693199025
7 3.77 7  0.0 0.08923388981248938
7 3.77 8  0.0 0.00995865274802089
7 3.77 9  0.0 0.03505854473145151
7 3.77 10  0.0 0.009176079233701288
7 3.77 11  0.0 0.016079348804324663
7 3.77 12  0.0 0.004475745469209676
7 3.77 13  0.0 0.012317030122082828
7 3.77 14  0.0 0.01557951095808685
7 3.77 15  3.48 0.003506312711775564
7 3.77 16  3.48 0.0010855989497499368
7 3.77 17  3.48 0.010882360508972809
7 3.77 18  3.48 0.003433404931717448
