rotational analysis ortho
#nmax= 1 NR= 11 Ntheta= 11 Nphi= 11
#jmax= 2 Nalpha= 11 Nphi= 11 Nchi= 11
-5.353984622907446e-14
14 135.32212655999996 0.21185195275791716
15 135.32212655999996 0.014307610373410632
16 135.32212655999996 0.018677966301145984

6.326464307216164
2 23.799358559999998 0.042825756823800964
3 23.799358559999998 0.014332546162914123
4 42.402163299999984 0.03529878362375428
8 79.51371234 0.2557193295183129
9 79.51371234 0.049936529838547114
10 79.51371234 0.01822890663379236
11 79.51371234 0.03043997830847838
12 135.32212655999996 0.07543139994044906
13 135.32212655999996 0.17279715576557117
14 135.32212655999996 0.037308841805172396
15 135.32212655999996 0.02144959215072811
16 135.32212655999996 0.027559178688483045

6.3264643072162
1 23.79935855999999 0.016858189595234722
3 23.799358559999998 0.02763176318073862
4 42.402163299999984 0.011726411478986223
5 42.402163299999984 0.01104257137763135
