5 67.43 79  98.42 2.6192936999795884e-5
5 67.43 80  98.47 2.2095030915049615e-5
5 67.43 81  98.62 1.1280340540056344e-5
5 67.43 82  98.69 1.3464422240995295e-6
5 67.43 83  101.83 0.00010243770141810243
5 67.43 84  102.73 5.1775747977541915e-5
5 67.43 85  103.07 2.8030146471763264e-5
5 67.43 86  131.22 6.75387551116216e-5
5 67.43 87  131.92 0.00041788623158954465
5 67.43 88  131.92 0.00026477865847142703
5 67.43 89  131.92 0.00043706946771861617
5 67.43 90  131.92 9.99505146864739e-5
5 67.43 91  131.92 0.0005030278653618714
5 67.43 92  131.92 0.00024268539071110808
5 67.43 93  131.92 0.00010539019451592848
5 67.43 94  132.01 0.0009419639575959899
5 67.43 95  132.03 0.0001344027909842795
5 67.43 96  132.13 5.9115696544921004e-5
5 67.43 97  132.48 0.0001827509617464459
5 67.43 98  132.88 0.0026653882687410826
5 67.43 99  132.88 0.00016552155826116547
5 67.43 100  133.4 0.0001625868428608383
6 67.43 6  0.0 5.674747612843075e-6
6 67.43 7  0.14 1.0241167138992864e-6
6 67.43 8  1.05 0.005500082523754754
6 67.43 9  1.53 0.003136242455354678
6 67.43 10  2.32 0.04683097960940872
6 67.43 11  3.55 0.04555373144203471
6 67.43 12  3.8 0.020858716001412553
6 67.43 13  22.04 0.009664273508563406
6 67.43 14  22.53 0.0041465186294525214
6 67.43 15  23.04 0.0008986032975227955
6 67.43 16  23.6 0.06911410878237334
6 67.43 17  23.62 0.047503634791870364
6 67.43 18  24.84 0.0544316018862
6 67.43 19  24.88 0.08695526240258214
6 67.43 20  26.28 0.021421951467814577
6 67.43 21  26.55 0.14033656025541041
6 67.43 22  29.79 0.004582249759749719
6 67.43 23  30.45 0.0121753707310983
6 67.43 24  32.85 0.11099457777458144
6 67.43 25  34.07 0.00019640830706925573
6 67.43 26  34.07 0.11663340853067229
6 67.43 27  62.51 0.0004000755706363905
6 67.43 28  62.53 0.00011508065427813039
6 67.43 29  62.84 6.557762577124435e-5
6 67.43 30  62.99 0.000335988469534043
6 67.43 31  63.39 5.2808286783183206e-5
6 67.43 32  63.94 0.00013458873335066995
6 67.43 33  64.22 0.002237287411056945
6 67.43 34  64.38 0.003919878876745194
6 67.43 35  64.48 4.226277030205817e-7
6 67.43 36  65.12 0.00046658293144203553
6 67.43 37  65.18 0.00021234926312814655
6 67.43 38  66.2 0.004977014879755258
6 67.43 39  66.35 0.0005001372125168917
6 67.43 40  67.34 0.00012524712212583444
6 67.43 41  67.4 0.00029185380246897686
6 67.43 42  67.42 0.005459305088253671
6 67.43 43  67.69 0.004168254389977568
6 67.43 44  70.42 0.005816826560940965
6 67.43 45  71.12 0.0006240543385094377
6 67.43 46  71.55 0.00024413631138483957
6 67.43 47  72.16 0.006686549991636376
6 67.43 48  74.65 0.0010790449414972577
6 67.43 49  75.08 0.002970965279719179
6 67.43 50  76.22 0.01805579871690235
6 67.43 51  77.42 0.0031074237362384775
6 67.43 52  78.06 0.014483815303925278
